Locus,Chrom,Position
chr01_4349299_4374411,chr1,21.24629218
chr01_4374411_4496982,chr1,21.4134889
chr01_4496982_4622466,chr1,21.66433953
chr01_4622466_4668456,chr1,22.2506025
chr01_4668456_4694728,chr1,22.83686503
chr01_4694728_4833971,chr1,23.00406217
chr01_4833971_4995362,chr1,23.4224517
chr01_4995362_5007546,chr1,24.42968242
chr01_5007546_5020722,chr1,24.93193554
chr01_5020722_5049127,chr1,25.26651094
chr01_5049127_5057108,chr1,25.35012955
chr01_5057108_5073552,chr1,25.60097712
chr01_5073552_5083087,chr1,25.68459434
chr01_5083087_5104620,chr1,25.76820983
chr01_5104620_5128094,chr1,26.18658574
chr01_5128094_5188560,chr1,26.43742597
chr01_5188560_5211796,chr1,26.68826527
chr01_5211796_5253225,chr1,26.85545182
chr01_5253225_5294521,chr1,27.10629641
chr01_5294521_5355475,chr1,27.27348497
chr01_5355475_5389364,chr1,27.60805354
chr01_5389364_5396823,chr1,27.69167206
chr01_5396823_5429087,chr1,27.77529161
chr01_5429087_5480325,chr1,28.19370829
chr01_5480325_5508249,chr1,28.36092474
chr01_5508249_5532026,chr1,28.44456301
chr01_5532026_5539586,chr1,28.52820075
chr01_5539586_5545893,chr1,28.61183688
chr01_5545893_5572845,chr1,28.77905164
chr01_5572845_5587275,chr1,29.28139624
chr01_5587275_5613546,chr1,29.36502985
chr01_5613546_5628907,chr1,29.53225219
chr01_5628907_5687819,chr1,29.78313313
chr01_5687819_5722881,chr1,30.03400877
chr01_5722881_5734601,chr1,30.28488424
chr01_5734601_5749211,chr1,30.36851379
chr01_5749211_5776345,chr1,30.4521411
chr01_5776345_5808930,chr1,30.53576636
chr01_5808930_5927489,chr1,30.61939006
chr01_5927489_5986959,chr1,30.78658654
chr01_5986959_6099151,chr1,30.87020553
chr01_6099151_6145346,chr1,31.20477368
chr01_6145346_6159189,chr1,31.45560044
chr01_6159189_6173491,chr1,31.79016363
chr01_6173491_6202824,chr1,31.95735245
chr01_6202824_6241104,chr1,32.04096608
chr01_6241104_6276922,chr1,32.29180072
chr01_6276922_6299281,chr1,32.45898751
chr01_6299281_6320690,chr1,32.54260354
chr01_6320690_6347753,chr1,32.70979688
chr01_6347753_6367169,chr1,32.79341663
chr01_6367169_6416803,chr1,33.04425264
chr01_6416803_6470094,chr1,33.6304596
chr01_6470094_6506308,chr1,33.88128722
chr01_6506308_6564396,chr1,34.04847086
chr01_6564396_6575659,chr1,34.13208289
chr01_6575659_6616381,chr1,34.29925713
chr01_6616381_6664200,chr1,34.88542376
chr01_6664200_6677013,chr1,35.30375395
chr01_6677013_6729508,chr1,35.88993009
chr01_6729508_6734531,chr1,35.97353964
chr01_6734531_6794391,chr1,36.14072373
chr01_6794391_6828786,chr1,36.55909211
chr01_6828786_6854216,chr1,36.89365834
chr01_6854216_6881749,chr1,37.06085008
chr01_6881749_6949155,chr1,37.3117065
chr01_6949155_6976971,chr1,37.64629958
chr01_6976971_6995794,chr1,37.72992011
chr01_6995794_7010977,chr1,37.81353857
chr01_7010977_7017643,chr1,38.31582144
chr01_7017643_7047652,chr1,38.48301989
chr01_7047652_7104662,chr1,38.5666441
chr01_7104662_7122253,chr1,38.98504275
chr01_7122253_7128203,chr1,39.06866233
chr01_7128203_7162463,chr1,39.15227986
chr01_7162463_7195433,chr1,39.57065581
chr01_7195433_7226421,chr1,39.82148675
chr01_7226421_7237190,chr1,39.90509636
chr01_7237190_7305047,chr1,40.07224474
chr01_7305047_7401465,chr1,41.58693073
chr01_7401465_7423218,chr1,41.6705102
chr01_7423218_7466499,chr1,41.75411442
chr01_7466499_7485744,chr1,41.92126467
chr01_7485744_7539865,chr1,42.17208131
chr01_7539865_7567135,chr1,42.25567986
chr01_7567135_7591147,chr1,42.59020367
chr01_7591147_7607350,chr1,42.92474707
chr01_7607350_7632503,chr1,43.0919266
chr01_7632503_7664092,chr1,43.51028667
chr01_7664092_7693889,chr1,43.59390022
chr01_7693889_7710500,chr1,43.84474399
chr01_7710500_7773125,chr1,44.01193715
chr01_7773125_7818928,chr1,44.09555476
chr01_7818928_7870003,chr1,44.17916989
chr01_7870003_7895596,chr1,44.262783
chr01_7895596_7911032,chr1,44.34639612
chr01_7911032_7921455,chr1,44.43001173
chr01_7921455_7988518,chr1,44.59719875
chr01_7988518_8028950,chr1,44.68081033
chr01_8028950_8083021,chr1,44.76441952
chr01_8083021_8126384,chr1,45.01524438
chr01_8126384_8142003,chr1,45.09885361
chr01_8142003_8151834,chr1,45.18246123
chr01_8151834_8186285,chr1,45.34963543
chr01_8186285_8291833,chr1,45.60045803
chr01_8291833_8310403,chr1,46.01881815
chr01_8310403_8319422,chr1,46.35337821
chr01_8319422_8328594,chr1,46.52056243
chr01_8328594_8346125,chr1,46.85511993
chr01_8346125_8371966,chr1,47.0222992
chr01_8371966_8433970,chr1,47.10590807
chr01_8433970_8438970,chr1,47.44045161
chr01_8438970_8445202,chr1,47.69126618
chr01_8445202_8505935,chr1,47.77486946
chr01_8505935_8585579,chr1,48.02568537
chr01_8585579_8631085,chr1,48.10928987
chr01_8631085_8680524,chr1,48.44382048
chr01_8680524_8692549,chr1,48.52742493
chr01_8692549_8721596,chr1,48.61103255
chr01_8721596_8736712,chr1,48.77821371
chr01_8736712_8760881,chr1,48.94540121
chr01_8760881_8774443,chr1,49.02901725
chr01_8774443_8788859,chr1,49.19620738
chr01_8788859_8810308,chr1,49.27982712
chr01_8810308_8899155,chr1,49.53067923
chr01_8899155_8913859,chr1,49.61430273
chr01_8913859_8987895,chr1,49.86515834
chr01_8987895_9003547,chr1,50.19973888
chr01_9003547_9061873,chr1,50.28335534
chr01_9061873_9102827,chr1,50.36697045
chr01_9102827_9107941,chr1,50.45058558
chr01_9107941_9120688,chr1,50.53420004
chr01_9120688_9165695,chr1,50.86876126
chr01_9165695_9186806,chr1,50.95237371
chr01_9186806_9282720,chr1,51.03598483
chr01_9282720_9344690,chr1,51.1195893
chr01_9344690_9374479,chr1,51.8739016
chr01_9374479_9380237,chr1,52.0410724
chr01_9380237_9406810,chr1,52.20825356
chr01_9406810_9429305,chr1,52.29186515
chr01_9429305_9482606,chr1,52.37547636
chr01_9482606_9509674,chr1,52.6263057
chr01_9509674_9527850,chr1,52.7099189
chr01_9527850_9550228,chr1,52.79353403
chr01_9550228_9566266,chr1,52.87715118
chr01_9566266_9584483,chr1,52.96076832
chr01_9584483_9593578,chr1,53.04438544
chr01_9593578_9598947,chr1,53.12800459
chr01_9598947_9611520,chr1,53.21162309
chr01_9611520_9670390,chr1,53.71389588
chr01_9670390_9688826,chr1,53.96472941
chr01_9688826_9727342,chr1,54.04833654
chr01_9727342_9741772,chr1,54.63450246
chr01_9741772_9751215,chr1,54.80167716
chr01_9751215_9821588,chr1,54.96885835
chr01_9821588_9871252,chr1,55.05246794
chr01_9871252_9881186,chr1,55.13607712
chr01_9881186_9902501,chr1,55.21968429
chr01_9902501_9912959,chr1,55.30329147
chr01_9912959_9931513,chr1,55.38690065
chr01_9931513_10021618,chr1,55.47051028
chr01_10021618_10070494,chr1,55.63768478
chr01_10070494_10140470,chr1,55.72128889
chr01_10140470_10218103,chr1,55.8884511
chr01_10218103_10234571,chr1,56.30673367
chr01_10234571_10243909,chr1,56.47387783
chr01_10243909_10276937,chr1,56.64102529
chr01_10276937_10289052,chr1,56.72461401
chr01_10289052_10314006,chr1,56.89175845
chr01_10314006_10332646,chr1,57.05890325
chr01_10332646_10363877,chr1,57.2260507
chr01_10363877_10374684,chr1,57.30964097
chr01_10374684_10398141,chr1,57.39322931
chr01_10398141_10459392,chr1,57.56037315
chr01_10459392_10522607,chr1,57.97863984
chr01_10522607_10558335,chr1,58.22940308
chr01_10558335_10591744,chr1,58.89940961
chr01_10591744_10603171,chr1,59.40150399
chr01_10603171_10611759,chr1,59.65228817
chr01_10611759_10635943,chr1,59.73587876
chr01_10635943_10662317,chr1,60.40594207
chr01_10662317_10704368,chr1,60.65670174
chr01_10704368_10745952,chr1,60.74028213
chr01_10745952_10812632,chr1,60.8238627
chr01_10812632_10842805,chr1,60.90744364
chr01_10842805_10938931,chr1,61.07457329
chr01_10938931_10959012,chr1,61.24169739
chr01_10959012_10971961,chr1,61.40881855
chr01_10971961_10982117,chr1,61.57594233
chr01_10982117_10993023,chr1,61.65951856
chr01_10993023_11030441,chr1,61.99396
chr01_11030441_11041859,chr1,62.07753402
chr01_11041859_11062719,chr1,62.16110944
chr01_11062719_11134518,chr1,62.32822947
chr01_11134518_11264344,chr1,62.74643311
chr01_11264344_11359639,chr1,62.83000791
chr01_11359639_11478871,chr1,62.91358483
chr01_11478871_11500631,chr1,62.99716172
chr01_11500631_11541949,chr1,63.08074046
chr01_11541949_11590447,chr1,63.16432087
chr01_11590447_11597775,chr1,63.41508912
chr01_11597775_11641109,chr1,63.58223547
chr01_11641109_11672099,chr1,63.83302114
chr01_11672099_11752142,chr1,64.08380604
chr01_11752142_11788644,chr1,64.33459096
chr01_11788644_11805905,chr1,64.41818268
chr01_11805905_11896278,chr1,64.50177253
chr01_11896278_11920503,chr1,64.58536241
chr01_11920503_11958208,chr1,64.66895229
chr01_11958208_11983639,chr1,64.75254254
chr01_11983639_11990540,chr1,64.91968961
chr01_11990540_12079310,chr1,65.00327832
chr01_12079310_12089619,chr1,65.17042577
chr01_12089619_12118120,chr1,65.33757157
chr01_12118120_12124783,chr1,65.67205586
chr01_12124783_12136010,chr1,65.92283566
chr01_12136010_12211917,chr1,66.08998682
chr01_12211917_12270469,chr1,66.42448249
chr01_12270469_12300654,chr1,66.50807374
chr01_12300654_12319438,chr1,66.67522347
chr01_12319438_12335774,chr1,66.92600036
chr01_12335774_12346175,chr1,67.00958825
chr01_12346175_12371557,chr1,67.09317814
chr01_12371557_12505851,chr1,67.17676804
chr01_12505851_12567883,chr1,67.26035602
chr01_12567883_12579253,chr1,67.34394401
chr01_12579253_12631925,chr1,67.4275311
chr01_12631925_12667684,chr1,67.76200297
chr01_12667684_12683551,chr1,67.92913939
chr01_12683551_12715877,chr1,68.01272201
chr01_12715877_12730215,chr1,68.26348527
chr01_12730215_12737003,chr1,68.34706933
chr01_12737003_12765793,chr1,68.59783262
chr01_12765793_12816305,chr1,68.68141286
chr01_12816305_12840290,chr1,68.93218045
chr01_12840290_12896519,chr1,69.01576747
chr01_12896519_12921917,chr1,69.35024413
chr01_12921917_13158063,chr1,69.43382916
chr01_13158063_13206354,chr1,69.68460977
chr01_13206354_13218237,chr1,69.93539038
chr01_13218237_13250991,chr1,70.01897638
chr01_13250991_13289391,chr1,70.10256099
chr01_13289391_13342103,chr1,70.26969867
chr01_13342103_13426177,chr1,70.52047125
chr01_13426177_13518841,chr1,70.60406144
chr01_13518841_13531943,chr1,70.77121188
chr01_13531943_13579156,chr1,70.93836534
chr01_13579156_13803425,chr1,71.02196132
chr01_13803425_13894062,chr1,71.10555729
chr01_13894062_13925650,chr1,71.27270664
chr01_13925650_13960323,chr1,71.85877464
chr01_13960323_13987555,chr1,72.2770397
chr01_13987555_14040058,chr1,72.61152556
chr01_14040058_14070470,chr1,72.69511453
chr01_14070470_14096620,chr1,72.77870251
chr01_14096620_14225883,chr1,72.86229051
chr01_14225883_14256219,chr1,72.94587852
chr01_14256219_14279123,chr1,73.02946465
chr01_14279123_14340991,chr1,73.1130489
chr01_14340991_14349342,chr1,73.19663316
chr01_14349342_14362358,chr1,73.28021743
chr01_14362358_14404297,chr1,73.36380168
chr01_14404297_14463013,chr1,73.44738781
chr01_14463013_14472695,chr1,73.53097581
chr01_14472695_14479978,chr1,73.6145657
chr01_14479978_14505983,chr1,73.69815119
chr01_14505983_14520952,chr1,74.28416711
chr01_14520952_14674646,chr1,74.36774685
chr01_14674646_14707486,chr1,74.45133111
chr01_14707486_14741907,chr1,74.53491538
chr01_14741907_14778587,chr1,74.61849965
chr01_14778587_14902518,chr1,74.70208188
chr01_14902518_14933126,chr1,75.12032394
chr01_14933126_14953196,chr1,75.28745875
chr01_14953196_14971662,chr1,75.37104373
chr01_14971662_15082124,chr1,75.53818187
chr01_15082124_15427704,chr1,75.6217646
chr01_15427704_15511846,chr1,75.70534875
chr01_15511846_15785353,chr1,75.95612066
chr01_15785353_17773698,chr1,76.03970894
chr01_17773698_17933110,chr1,76.20685601
chr01_17933110_17998170,chr1,76.29044625
chr01_17998170_18018365,chr1,76.37403801
chr01_18018365_18036694,chr1,76.45763169
chr01_18036694_18060586,chr1,76.54122537
chr01_18060586_18069527,chr1,76.62481713
chr01_18069527_18091664,chr1,76.70840699
chr01_18091664_18112962,chr1,76.79199685
chr01_18112962_18197227,chr1,76.87558863
chr01_18197227_18206898,chr1,76.95918041
chr01_18206898_18333755,chr1,77.04277065
chr01_18333755_18355278,chr1,77.20991769
chr01_18355278_18414639,chr1,77.29350793
chr01_18414639_18485921,chr1,77.37710006
chr01_18485921_18540648,chr1,77.54425658
chr01_18540648_18629725,chr1,77.71141616
chr01_18629725_18648947,chr1,77.79501213
chr01_18648947_18689155,chr1,77.87860387
chr01_18689155_18769211,chr1,78.29687526
chr01_18769211_18784696,chr1,78.38046316
chr01_18784696_18872230,chr1,78.46405211
chr01_18872230_18998235,chr1,78.79854065
chr01_18998235_19011286,chr1,78.88213151
chr01_19011286_19026544,chr1,78.96572554
chr01_19026544_19094488,chr1,79.13288469
chr01_19094488_19126759,chr1,79.21648452
chr01_19126759_19141330,chr1,79.30008395
chr01_19141330_19207003,chr1,79.38368182
chr01_19207003_19270055,chr1,79.55084096
chr01_19270055_19305307,chr1,79.63443693
chr01_19305307_19339969,chr1,79.71803057
chr01_19339969_19354853,chr1,79.80162423
chr01_19354853_19371015,chr1,79.88521789
chr01_19371015_19383725,chr1,79.96881153
chr01_19383725_19412244,chr1,80.05240624
chr01_19412244_19967108,chr1,80.38691873
chr01_19967108_20032519,chr1,80.47051927
chr01_20032519_20049036,chr1,80.72133142
chr01_20049036_20062290,chr1,80.88850609
chr01_20062290_20105478,chr1,81.05568585
chr01_20105478_20264926,chr1,81.39023043
chr01_20264926_20273700,chr1,82.14459686
chr01_20273700_20298966,chr1,82.22821414
chr01_20298966_20341920,chr1,82.39541424
chr01_20341920_20347068,chr1,82.81382281
chr01_20347068_20453250,chr1,82.89744143
chr01_20453250_20479740,chr1,83.56773115
chr01_20479740_20486629,chr1,83.73491603
chr01_20486629_20530242,chr1,83.98576052
chr01_20530242_20535401,chr1,84.15295369
chr01_20535401_20582350,chr1,84.23657129
chr01_20582350_20602739,chr1,84.32018651
chr01_20602739_20638533,chr1,84.5710204
chr01_20638533_20660785,chr1,84.65463159
chr01_20660785_20666903,chr1,84.73824273
chr01_20666903_20714964,chr1,84.82185395
chr01_20714964_20721711,chr1,85.07267952
chr01_20721711_20760693,chr1,85.23986002
chr01_20760693_20812097,chr1,85.32347163
chr01_20812097_20847747,chr1,85.40708078
chr01_20847747_20917222,chr1,85.49068994
chr01_20917222_20927883,chr1,85.57429914
chr01_20927883_20947379,chr1,85.82512925
chr01_20947379_21079357,chr1,85.99231585
chr01_21079357_21131776,chr1,86.24316037
chr01_21131776_21157673,chr1,86.41035393
chr01_21157673_21191471,chr1,86.8287164
chr01_21191471_21358882,chr1,87.66722233
chr01_21358882_21475637,chr1,87.75082263
chr01_21475637_21643259,chr1,88.08537893
chr01_21643259_21672100,chr1,88.25256501
chr01_21672100_21717801,chr1,88.41975246
chr01_21717801_21758533,chr1,88.50336851
chr01_21758533_21795761,chr1,88.67055549
chr01_21795761_21811528,chr1,88.7541694
chr01_21811528_21822039,chr1,89.17254555
chr01_21822039_21851543,chr1,89.33973972
chr01_21851543_21863821,chr1,89.50693673
chr01_21863821_21897855,chr1,89.59055265
chr01_21897855_21916049,chr1,90.00893667
chr01_21916049_21922288,chr1,90.25978215
chr01_21922288_21941345,chr1,90.42697209
chr01_21941345_21994447,chr1,90.51058366
chr01_21994447_22000032,chr1,91.09678642
chr01_22000032_22018557,chr1,91.43134091
chr01_22018557_22033285,chr1,91.51495333
chr01_22033285_22046008,chr1,91.59856646
chr01_22046008_22086022,chr1,91.68218005
chr01_22086022_22123637,chr1,91.84936369
chr01_22123637_22134131,chr1,92.10019391
chr01_22134131_22152620,chr1,92.35102337
chr01_22152620_22190108,chr1,92.43463457
chr01_22190108_22211260,chr1,92.51824571
chr01_22211260_22383457,chr1,92.601854
chr01_22383457_22400708,chr1,93.10409388
chr01_22400708_22493671,chr1,93.1877063
chr01_22493671_22542380,chr1,93.43855007
chr01_22542380_22579708,chr1,93.60574374
chr01_22579708_22592415,chr1,93.77293117
chr01_22592415_22603248,chr1,93.85654516
chr01_22603248_22635514,chr1,94.02373534
chr01_22635514_22648607,chr1,94.10735294
chr01_22648607_22665655,chr1,94.19097008
chr01_22665655_22675256,chr1,94.27458723
chr01_22675256_22681541,chr1,94.35820281
chr01_22681541_22740901,chr1,94.52538981
chr01_22740901_22777600,chr1,94.60900349
chr01_22777600_22829154,chr1,94.85982832
chr01_22829154_22887402,chr1,94.94343378
chr01_22887402_22920413,chr1,95.36176992
chr01_22920413_22947301,chr1,95.52894117
chr01_22947301_22954881,chr1,95.77975781
chr01_22954881_22991177,chr1,95.86335816
chr01_22991177_23005672,chr1,96.36552997
chr01_23005672_23101203,chr1,96.53268676
chr01_23101203_23109271,chr1,96.95098728
chr01_23109271_23157094,chr1,97.03458463
chr01_23157094_23230168,chr1,97.20174374
chr01_23230168_23250580,chr1,97.62004034
chr01_23250580_23317234,chr1,97.70363212
chr01_23317234_23345789,chr1,98.12191261
chr01_23345789_23380537,chr1,98.37269997
chr01_23380537_23427340,chr1,98.79100417
chr01_23427340_23524524,chr1,98.87460213
chr01_23524524_23654981,chr1,99.04176708
chr01_23654981_23693297,chr1,99.29257555
chr01_23693297_23705356,chr1,99.45974092
chr01_23705356_23712218,chr1,99.6269066
chr01_23712218_23717795,chr1,99.71050641
chr01_23717795_23753552,chr1,99.79410388
chr01_23753552_23769788,chr1,99.87770051
chr01_23769788_23778047,chr1,100.212213
chr01_23778047_23871486,chr1,100.295812
chr01_23871486_23899225,chr1,100.4629772
chr01_23899225_23920472,chr1,100.5465794
chr01_23920472_23931120,chr1,100.7137475
chr01_23931120_23944597,chr1,100.9645507
chr01_23944597_23998676,chr1,101.2153482
chr01_23998676_24006985,chr1,101.71753
chr01_24006985_24026845,chr1,101.8011284
chr01_24026845_24039568,chr1,101.8847248
chr01_24039568_24063531,chr1,102.3868767
chr01_24063531_24072478,chr1,102.5540249
chr01_24072478_24087384,chr1,102.637617
chr01_24087384_24109574,chr1,102.7212087
chr01_24109574_24118611,chr1,102.9719878
chr01_24118611_24143557,chr1,103.3064715
chr01_24143557_24160101,chr1,103.5572507
chr01_24160101_24187978,chr1,103.6408405
chr01_24187978_24245337,chr1,103.7244304
chr01_24245337_24285883,chr1,103.8080206
chr01_24285883_24291108,chr1,103.9751677
chr01_24291108_24314708,chr1,104.0587559
chr01_24314708_24360769,chr1,104.3095333
chr01_24360769_24368260,chr1,104.7278139
chr01_24368260_24392735,chr1,104.811406
chr01_24392735_24418449,chr1,104.9785575
chr01_24418449_24508119,chr1,105.313041
chr01_24508119_24518638,chr1,106.0671985
chr01_24518638_24577907,chr1,106.2343474
chr01_24577907_24595796,chr1,106.401507
chr01_24595796_24608177,chr1,106.4851029
chr01_24608177_24619301,chr1,106.5687008
chr01_24619301_24632281,chr1,106.735863
chr01_24632281_24799294,chr1,106.8194579
chr01_24799294_24850389,chr1,107.3216074
chr01_24850389_24900123,chr1,107.4052011
chr01_24900123_24905518,chr1,107.7397088
chr01_24905518_24928972,chr1,107.9068606
chr01_24928972_24941137,chr1,108.074008
chr01_24941137_24950176,chr1,108.1575963
chr01_24950176_24972171,chr1,108.4083732
chr01_24972171_25012999,chr1,108.5755183
chr01_25012999_25024398,chr1,108.910008
chr01_25024398_25031565,chr1,108.9935973
chr01_25031565_25041575,chr1,109.1607458
chr01_25041575_25054388,chr1,109.4952296
chr01_25054388_25060175,chr1,109.5788128
chr01_25060175_25088470,chr1,109.6623952
chr01_25088470_25098674,chr1,109.7459777
chr01_25098674_25138189,chr1,109.8295601
chr01_25138189_25274168,chr1,109.9131397
chr01_25274168_25309814,chr1,110.247588
chr01_25309814_25397154,chr1,110.4147129
chr01_25397154_25447817,chr1,110.5818425
chr01_25447817_25459974,chr1,110.6654234
chr01_25459974_25473018,chr1,110.7490059
chr01_25473018_25716047,chr1,110.8325873
chr01_25716047_25746353,chr1,111.1670404
chr01_25746353_25757100,chr1,111.2506179
chr01_25757100_25781852,chr1,111.5013769
chr01_25781852_25799190,chr1,111.5849591
chr01_25799190_25844211,chr1,111.8357224
chr01_25844211_25870939,chr1,111.9193029
chr01_25870939_25916718,chr1,112.0028819
chr01_25916718_25954916,chr1,112.1700115
chr01_25954916_25984413,chr1,112.3371441
chr01_25984413_26064458,chr1,112.4207276
chr01_26064458_26096401,chr1,112.6714812
chr01_26096401_26155830,chr1,112.7550623
chr01_26155830_26163570,chr1,113.005822
chr01_26163570_26197618,chr1,113.1729541
chr01_26197618_26222346,chr1,113.3400838
chr01_26222346_26292618,chr1,113.4236608
chr01_26292618_26301221,chr1,113.6744069
chr01_26301221_26307838,chr1,113.9251445
chr01_26307838_26344490,chr1,114.0087117
chr01_26344490_26383005,chr1,114.4269061
chr01_26383005_26427383,chr1,114.5104791
chr01_26427383_26487415,chr1,114.5940531
chr01_26487415_26514566,chr1,114.9284887
chr01_26514566_26588619,chr1,115.0120607
chr01_26588619_26599317,chr1,115.2628012
chr01_26599317_26646724,chr1,115.5972199
chr01_26646724_26685576,chr1,115.6807833
chr01_26685576_26802668,chr1,115.8478793
chr01_26802668_26814769,chr1,116.4337546
chr01_26814769_26827007,chr1,116.517318
chr01_26827007_26927286,chr1,116.6844303
chr01_26927286_27035080,chr1,116.8515425
chr01_27035080_27134674,chr1,116.935109
chr01_27134674_27143316,chr1,117.0186751
chr01_27143316_27175244,chr1,117.1022415
chr01_27175244_27205812,chr1,117.2693487
chr01_27205812_27234091,chr1,117.6037519
chr01_27234091_27270762,chr1,117.7708565
chr01_27270762_27320338,chr1,117.9379654
chr01_27320338_27329360,chr1,118.1886877
chr01_27329360_27514581,chr1,118.3557908
chr01_27514581_27527641,chr1,118.5228917
chr01_27527641_27571903,chr1,118.606451
chr01_27571903_27693805,chr1,118.6900104
chr01_27693805_27768841,chr1,118.8571113
chr01_27768841_27915020,chr1,119.0242122
chr01_27915020_27953006,chr1,119.1077733
chr01_27953006_28012282,chr1,119.1913363
chr01_28012282_28030275,chr1,119.3584397
chr01_28030275_28105951,chr1,119.4419988
chr01_28105951_28145585,chr1,119.692699
chr01_28145585_28162144,chr1,119.9433868
chr01_28162144_28174848,chr1,120.0269338
chr01_28174848_28203737,chr1,120.1940089
chr01_28203737_28264697,chr1,120.444678
chr01_28264697_28307226,chr1,120.6117505
